trade_no,direction,entry_time,exit_time,entry_price,exit_price,notional,pnl,fees,funding,liquidated,liq_price_est,liq_loss,net_trade,balance_before,balance_after,exit_reason,stop_streak
65,short,2021-01-30 06:00:00+00:00,2021-01-30 09:00:00+00:00,0.031400220666682764,0.031358697284873664,202.57378529650828,0.2678818318084821,0.20257378529650827,0.02025737852965083,False,0.03430474107835092,0.0,0.08556542504162463,1012.8689264825415,1012.9544919075831,short_exit_LB,0
66,long,2021-01-30 16:15:00+00:00,2021-01-30 17:00:00+00:00,0.031999966500000004,0.031615763000000005,202.59089838151664,-2.43238167847216,0.20259089838151664,0.0,False,0.029039969598750003,0.0,-2.6349725768536767,1012.9544919075831,1010.3195193307295,long_exit_LH,0
67,long,2021-01-30 21:00:00+00:00,2021-01-30 22:45:00+00:00,0.03195976138750021,0.03186762951303035,202.0639038661459,-0.5824989116835741,0.2020639038661459,0.0,False,0.02900348345915644,0.0,-0.7845628155497201,1010.3195193307295,1009.5349565151797,long_exit_LH,0
68,short,2021-01-30 22:45:00+00:00,2021-01-30 23:30:00+00:00,0.03186763426434517,0.03188240597384964,201.90699130303597,-0.09359061289929241,0.20190699130303597,0.0,False,0.0348153904337971,0.0,-0.2954976042023284,1009.5349565151797,1009.2394589109774,short_exit_LB,0
69,long,2021-01-30 23:30:00+00:00,2021-01-31 00:00:00+00:00,0.031882404173295645,0.03175401202839626,201.8478917821955,-0.8128522437790671,0.2018478917821955,0.0,False,0.028933281787265796,0.0,-1.0147001355612626,1009.2394589109774,1008.2247587754161,long_exit_LH,0
70,short,2021-01-31 02:00:00+00:00,2021-01-31 03:30:00+00:00,0.03191042296731881,0.031702542715646,201.64495175508324,1.3136147823025868,0.20164495175508323,0.0,False,0.0348621370917958,0.0,1.1119698305475034,1008.2247587754161,1009.3367286059637,short_exit_LB,0
71,long,2021-01-31 03:30:00+00:00,2021-01-31 04:30:00+00:00,0.0317025496301809,0.03148092096153075,201.86734572119275,-1.4112300618728166,0.20186734572119275,0.0,False,0.028770063789389164,0.0,-1.6130974075940094,1009.3367286059637,1007.7236311983697,long_exit_LH,0
72,short,2021-01-31 04:30:00+00:00,2021-01-31 05:45:00+00:00,0.03148093072535928,0.03155708087957716,201.54472623967393,-0.4875224979479234,0.20154472623967393,0.0,False,0.03439291681745501,0.0,-0.6890672241875974,1007.7236311983697,1007.0345639741821,short_exit_LB,0
73,short,2021-01-31 06:45:00+00:00,2021-01-31 07:15:00+00:00,0.030978027158524057,0.03152807107239144,201.40691279483644,-3.5761685541403074,0.20140691279483644,0.0,False,0.033843494670687535,0.0,-3.777575466935144,1007.0345639741821,1003.256988507247,short_exit_LB,0
74,long,2021-01-31 10:30:00+00:00,2021-01-31 10:45:00+00:00,0.0332182265,0.032156701489508485,200.6513977014494,-6.412036387618972,0.2006513977014494,0.0,False,0.030145540548750002,0.0,-6.612687785320421,1003.256988507247,996.6443007219266,STOP_LOSS,1
75,short,2021-01-31 17:00:00+00:00,2021-01-31 19:00:00+00:00,0.03177807089085797,0.031881889999772275,199.32886014438535,-0.6512083352123119,0.19932886014438536,0.0,False,0.034717542448262334,0.0,-0.8505371953566973,996.6443007219266,995.7937635265699,short_exit_LB,0
76,long,2021-02-01 00:15:00+00:00,2021-02-01 02:15:00+00:00,0.03229087675744142,0.0322724359660137,199.158752705314,-0.11373630537289495,0.199158752705314,0.0,False,0.029303970657378085,0.0,-0.31289505807820894,995.7937635265699,995.4808684684917,long_exit_LH,0
77,long,2021-02-01 02:45:00+00:00,2021-02-01 04:00:00+00:00,0.032333000953767004,0.03233093430577839,199.09617369369838,-0.012725750619114974,0.1990961736936984,0.0,False,0.029342198365543554,0.0,-0.21182192431281335,995.4808684684917,995.2690465441789,long_exit_LH,0
78,long,2021-02-01 06:15:00+00:00,2021-02-01 06:45:00+00:00,0.03373384214669147,0.032667928000000006,199.05380930883578,-6.289656255948388,0.1990538093088358,0.0,False,0.03061346174812251,0.0,-6.488710065257224,995.2690465441789,988.7803364789216,STOP_LOSS,1
79,short,2021-02-01 06:45:00+00:00,2021-02-01 07:00:00+00:00,0.032679471,0.0334566780635976,197.75606729578436,-4.703179325380335,0.19775606729578438,0.0,False,0.0357023220675,0.0,-4.900935392676119,988.7803364789216,983.8794010862455,short_exit_LB,0
80,short,2021-02-01 16:15:00+00:00,2021-02-01 17:15:00+00:00,0.03234396365969983,0.03252356707268491,196.77588021724912,-1.092680540084698,0.19677588021724912,0.0,False,0.03533578029822207,0.0,-1.289456420301947,983.8794010862455,982.5899446659436,short_exit_LB,0
